Experiment_Name,Function,Dimension,Selection,Crossover_Rate,Mutation_Multiplier,Initial_Mutation_Rate,Best_Score,Mean_Score,Std_Dev,Iterations,Population_Size,Stagnation_Limit,Number_of_Runs,Avg_Time_Seconds
Rastrigin_D30_Roulette_C0.7_M4.0,Rastrigin,30,Roulette,0.7,4.0,0.007843,32.83362778,52.43429257,7.73746126,400,150,50.0,30,1.78
Rastrigin_D30_Tournament_C0.9_M1.0,Rastrigin,30,Tournament,0.9,1.0,0.001961,33.82858655,47.9566761,9.3061205,400,150,50.0,30,1.53
Rastrigin_D30_Tournament_C0.8_M4.0,Rastrigin,30,Tournament,0.8,4.0,0.007843,35.81849993,53.89522343,8.28265966,400,150,50.0,30,1.51
Rastrigin_D100_Tournament_C0.9_M2.0,Rastrigin,100,Tournament,0.9,2.0,0.001176,141.26093134,191.60598392,17.73602823,400,150,50.0,30,2.63
Rastrigin_D100_Tournament_C0.9_M4.0,Rastrigin,100,Tournament,0.9,4.0,0.002353,143.22241039,183.36095874,18.18499356,400,150,50.0,30,2.65
Rastrigin_D100_Tournament_C0.8_M4.0,Rastrigin,100,Tournament,0.8,4.0,0.002353,161.74554448,196.83813865,17.37822606,400,150,50.0,30,2.58
Rastrigin_D100_Tournament_C0.7_M4.0,Rastrigin,100,Tournament,0.7,4.0,0.002353,162.00743512,205.98835624,19.05277023,400,150,50.0,30,2.55
Rastrigin_D100_Tournament_C0.8_M2.0,Rastrigin,100,Tournament,0.8,2.0,0.001176,162.08611822,203.36523782,22.15596887,400,150,50.0,30,2.57
Rosenbrock_D2_Roulette_C0.9_M4.0,Rosenbrock,2,Roulette,0.9,4.0,0.111111,1e-08,0.02231461,0.0367081,200,100,,30,0.73
Rosenbrock_D2_Tournament_C0.8_M4.0,Rosenbrock,2,Tournament,0.8,4.0,0.111111,1e-08,0.00041462,0.00107847,200,100,,30,0.65
Rosenbrock_D2_Tournament_C0.9_M4.0,Rosenbrock,2,Tournament,0.9,4.0,0.111111,1e-08,0.00150921,0.00301074,200,100,,30,0.69
Rosenbrock_D2_Tournament_C0.7_M2.0,Rosenbrock,2,Tournament,0.7,2.0,0.055556,2e-08,0.00731712,0.01224903,200,100,,30,0.65
Rosenbrock_D2_Tournament_C0.7_M4.0,Rosenbrock,2,Tournament,0.7,4.0,0.111111,3e-08,0.00151342,0.00392072,200,100,,30,0.66
Rosenbrock_D30_Roulette_C0.9_M4.0,Rosenbrock,30,Roulette,0.9,4.0,0.007407,1.97600252,86.45562041,74.09703472,400,150,50.0,30,2.37
Rosenbrock_D30_Roulette_C0.9_M2.0,Rosenbrock,30,Roulette,0.9,2.0,0.003704,4.9315709,82.12474211,75.96464822,400,150,50.0,30,2.37
Rosenbrock_D30_Roulette_C0.9_M1.0,Rosenbrock,30,Roulette,0.9,1.0,0.001852,4.93924885,105.87191764,78.65734175,400,150,50.0,30,2.37
Rosenbrock_D30_Tournament_C0.7_M2.0,Rosenbrock,30,Tournament,0.7,2.0,0.003704,8.48473578,92.71802879,59.95396253,400,150,50.0,30,2.14
Rosenbrock_D30_Roulette_C0.7_M1.0,Rosenbrock,30,Roulette,0.7,1.0,0.001852,10.55172681,103.84829613,94.76473024,400,150,50.0,30,2.32
Rosenbrock_D100_Tournament_C0.9_M4.0,Rosenbrock,100,Tournament,0.9,4.0,0.002222,231.23203185,600.02593231,250.6527555,400,150,50.0,30,3.28
Rosenbrock_D100_Tournament_C0.8_M4.0,Rosenbrock,100,Tournament,0.8,4.0,0.002222,321.40762174,577.40813999,269.32244795,400,150,50.0,30,3.23
Rosenbrock_D100_Tournament_C0.7_M4.0,Rosenbrock,100,Tournament,0.7,4.0,0.002222,335.28477505,614.88695647,201.28742365,400,150,50.0,30,3.21
Rosenbrock_D100_Tournament_C0.9_M2.0,Rosenbrock,100,Tournament,0.9,2.0,0.001111,351.41249942,573.50365896,189.05670199,400,150,50.0,30,3.26
Rosenbrock_D100_Tournament_C0.8_M1.0,Rosenbrock,100,Tournament,0.8,1.0,0.000556,362.28658494,818.91425022,474.54266911,400,150,50.0,30,3.22
