Experiment_Name,Function,Dimension,Selection,Crossover_Rate,Mutation_Multiplier,Initial_Mutation_Rate,Best_Score,Mean_Score,Std_Dev,Iterations,Population_Size,Stagnation_Limit,Number_of_Runs,Avg_Time_Seconds
Rosenbrock_D100_Roulette_C0.7_M1.0,Rosenbrock,100,Roulette,0.7,1.0,0.000556,749.64555954,1751.59920223,920.64199941,400,150,50.0,30,3.5
Rosenbrock_D100_Roulette_C0.7_M2.0,Rosenbrock,100,Roulette,0.7,2.0,0.001111,537.81276142,1334.7184339,914.66171629,400,150,50.0,30,3.46
Rosenbrock_D100_Roulette_C0.7_M4.0,Rosenbrock,100,Roulette,0.7,4.0,0.002222,502.14813889,833.20614091,428.96347352,400,150,50.0,30,3.51
Rosenbrock_D100_Roulette_C0.8_M1.0,Rosenbrock,100,Roulette,0.8,1.0,0.000556,789.42111239,1660.24067991,1025.63502796,400,150,50.0,30,3.49
Rosenbrock_D100_Roulette_C0.8_M2.0,Rosenbrock,100,Roulette,0.8,2.0,0.001111,530.84634255,1172.64560117,662.66276439,400,150,50.0,30,3.49
Rosenbrock_D100_Roulette_C0.8_M4.0,Rosenbrock,100,Roulette,0.8,4.0,0.002222,493.11607741,771.27080086,427.88274651,400,150,50.0,30,3.73
Rosenbrock_D100_Roulette_C0.9_M1.0,Rosenbrock,100,Roulette,0.9,1.0,0.000556,723.07578116,1913.63844233,897.98778863,400,150,50.0,30,3.79
Rosenbrock_D100_Roulette_C0.9_M2.0,Rosenbrock,100,Roulette,0.9,2.0,0.001111,578.75182217,1315.15319778,679.18449968,400,150,50.0,30,3.79
Rosenbrock_D100_Roulette_C0.9_M4.0,Rosenbrock,100,Roulette,0.9,4.0,0.002222,440.51425902,1050.81728676,769.22148372,400,150,50.0,30,3.83
Rosenbrock_D100_Tournament_C0.7_M1.0,Rosenbrock,100,Tournament,0.7,1.0,0.000556,451.24772434,1083.02522789,901.91916488,400,150,50.0,30,3.24
Rosenbrock_D100_Tournament_C0.7_M2.0,Rosenbrock,100,Tournament,0.7,2.0,0.001111,441.01706432,758.74434178,213.17213997,400,150,50.0,30,3.21
Rosenbrock_D100_Tournament_C0.7_M4.0,Rosenbrock,100,Tournament,0.7,4.0,0.002222,335.28477505,614.88695647,201.28742365,400,150,50.0,30,3.21
Rosenbrock_D100_Tournament_C0.8_M1.0,Rosenbrock,100,Tournament,0.8,1.0,0.000556,362.28658494,818.91425022,474.54266911,400,150,50.0,30,3.22
Rosenbrock_D100_Tournament_C0.8_M2.0,Rosenbrock,100,Tournament,0.8,2.0,0.001111,381.108063,751.50230879,344.1274912,400,150,50.0,30,3.25
Rosenbrock_D100_Tournament_C0.8_M4.0,Rosenbrock,100,Tournament,0.8,4.0,0.002222,321.40762174,577.40813999,269.32244795,400,150,50.0,30,3.23
Rosenbrock_D100_Tournament_C0.9_M1.0,Rosenbrock,100,Tournament,0.9,1.0,0.000556,373.64450623,650.28319024,189.72222404,400,150,50.0,30,3.28
Rosenbrock_D100_Tournament_C0.9_M2.0,Rosenbrock,100,Tournament,0.9,2.0,0.001111,351.41249942,573.50365896,189.05670199,400,150,50.0,30,3.26
Rosenbrock_D100_Tournament_C0.9_M4.0,Rosenbrock,100,Tournament,0.9,4.0,0.002222,231.23203185,600.02593231,250.6527555,400,150,50.0,30,3.28
Rosenbrock_D2_Roulette_C0.7_M1.0,Rosenbrock,2,Roulette,0.7,1.0,0.027778,0.00010011,1.37197542,3.1236874,200,100,,30,0.77
Rosenbrock_D2_Roulette_C0.7_M2.0,Rosenbrock,2,Roulette,0.7,2.0,0.055556,3.63e-05,1.40193254,2.71441399,200,100,,30,0.76
Rosenbrock_D2_Roulette_C0.7_M4.0,Rosenbrock,2,Roulette,0.7,4.0,0.111111,5.72e-06,0.42359268,2.00661823,200,100,,30,0.76
Rosenbrock_D2_Roulette_C0.8_M1.0,Rosenbrock,2,Roulette,0.8,1.0,0.027778,1.071e-05,1.42758884,3.53842649,200,100,,30,0.74
Rosenbrock_D2_Roulette_C0.8_M2.0,Rosenbrock,2,Roulette,0.8,2.0,0.055556,3.84e-06,1.01479584,2.42553939,200,100,,30,0.76
Rosenbrock_D2_Roulette_C0.8_M4.0,Rosenbrock,2,Roulette,0.8,4.0,0.111111,8.155e-05,0.05307948,0.16879263,200,100,,30,0.75
Rosenbrock_D2_Roulette_C0.9_M1.0,Rosenbrock,2,Roulette,0.9,1.0,0.027778,0.00019849,3.28714342,4.48057533,200,100,,30,0.73
Rosenbrock_D2_Roulette_C0.9_M2.0,Rosenbrock,2,Roulette,0.9,2.0,0.055556,0.00029936,0.34464349,0.62407553,200,100,,30,0.72
Rosenbrock_D2_Roulette_C0.9_M4.0,Rosenbrock,2,Roulette,0.9,4.0,0.111111,1e-08,0.02231461,0.0367081,200,100,,30,0.73
Rosenbrock_D2_Tournament_C0.7_M1.0,Rosenbrock,2,Tournament,0.7,1.0,0.027778,5.56e-06,0.02318162,0.03519818,200,100,,30,0.65
Rosenbrock_D2_Tournament_C0.7_M2.0,Rosenbrock,2,Tournament,0.7,2.0,0.055556,2e-08,0.00731712,0.01224903,200,100,,30,0.65
Rosenbrock_D2_Tournament_C0.7_M4.0,Rosenbrock,2,Tournament,0.7,4.0,0.111111,3e-08,0.00151342,0.00392072,200,100,,30,0.66
Rosenbrock_D2_Tournament_C0.8_M1.0,Rosenbrock,2,Tournament,0.8,1.0,0.027778,1.6e-07,0.02160097,0.03299836,200,100,,30,0.63
Rosenbrock_D2_Tournament_C0.8_M2.0,Rosenbrock,2,Tournament,0.8,2.0,0.055556,5.72e-06,0.01399228,0.02865079,200,100,,30,0.66
Rosenbrock_D2_Tournament_C0.8_M4.0,Rosenbrock,2,Tournament,0.8,4.0,0.111111,1e-08,0.00041462,0.00107847,200,100,,30,0.65
Rosenbrock_D2_Tournament_C0.9_M1.0,Rosenbrock,2,Tournament,0.9,1.0,0.027778,4.2e-06,0.01791469,0.02533092,200,100,,30,0.64
Rosenbrock_D2_Tournament_C0.9_M2.0,Rosenbrock,2,Tournament,0.9,2.0,0.055556,5.56e-06,0.0108034,0.02001307,200,100,,30,0.72
Rosenbrock_D2_Tournament_C0.9_M4.0,Rosenbrock,2,Tournament,0.9,4.0,0.111111,1e-08,0.00150921,0.00301074,200,100,,30,0.69
Rosenbrock_D30_Roulette_C0.7_M1.0,Rosenbrock,30,Roulette,0.7,1.0,0.001852,10.55172681,103.84829613,94.76473024,400,150,50.0,30,2.32
Rosenbrock_D30_Roulette_C0.7_M2.0,Rosenbrock,30,Roulette,0.7,2.0,0.003704,26.43526668,119.07907745,92.76013333,400,150,50.0,30,2.34
Rosenbrock_D30_Roulette_C0.7_M4.0,Rosenbrock,30,Roulette,0.7,4.0,0.007407,13.55324202,75.47838345,41.45605814,400,150,50.0,30,2.34
Rosenbrock_D30_Roulette_C0.8_M1.0,Rosenbrock,30,Roulette,0.8,1.0,0.001852,18.19533274,109.07069032,55.93992042,400,150,50.0,30,2.36
Rosenbrock_D30_Roulette_C0.8_M2.0,Rosenbrock,30,Roulette,0.8,2.0,0.003704,24.34074196,93.68120507,62.12144404,400,150,50.0,30,2.36
Rosenbrock_D30_Roulette_C0.8_M4.0,Rosenbrock,30,Roulette,0.8,4.0,0.007407,22.56812529,104.03468038,64.71279105,400,150,50.0,30,2.37
Rosenbrock_D30_Roulette_C0.9_M1.0,Rosenbrock,30,Roulette,0.9,1.0,0.001852,4.93924885,105.87191764,78.65734175,400,150,50.0,30,2.37
Rosenbrock_D30_Roulette_C0.9_M2.0,Rosenbrock,30,Roulette,0.9,2.0,0.003704,4.9315709,82.12474211,75.96464822,400,150,50.0,30,2.37
Rosenbrock_D30_Roulette_C0.9_M4.0,Rosenbrock,30,Roulette,0.9,4.0,0.007407,1.97600252,86.45562041,74.09703472,400,150,50.0,30,2.37
Rosenbrock_D30_Tournament_C0.7_M1.0,Rosenbrock,30,Tournament,0.7,1.0,0.001852,23.37230955,132.52648555,126.43629463,400,150,50.0,30,2.1
Rosenbrock_D30_Tournament_C0.7_M2.0,Rosenbrock,30,Tournament,0.7,2.0,0.003704,8.48473578,92.71802879,59.95396253,400,150,50.0,30,2.14
Rosenbrock_D30_Tournament_C0.7_M4.0,Rosenbrock,30,Tournament,0.7,4.0,0.007407,12.49214102,70.13627137,40.49228229,400,150,50.0,30,2.1
Rosenbrock_D30_Tournament_C0.8_M1.0,Rosenbrock,30,Tournament,0.8,1.0,0.001852,22.06576245,93.81791574,51.8423635,400,150,50.0,30,2.15
Rosenbrock_D30_Tournament_C0.8_M2.0,Rosenbrock,30,Tournament,0.8,2.0,0.003704,15.70796841,86.49428853,60.83540712,400,150,50.0,30,2.15
Rosenbrock_D30_Tournament_C0.8_M4.0,Rosenbrock,30,Tournament,0.8,4.0,0.007407,26.58475259,72.3718025,41.63643073,400,150,50.0,30,2.17
Rosenbrock_D30_Tournament_C0.9_M1.0,Rosenbrock,30,Tournament,0.9,1.0,0.001852,16.57256045,97.91769632,73.62849751,400,150,50.0,30,2.18
Rosenbrock_D30_Tournament_C0.9_M2.0,Rosenbrock,30,Tournament,0.9,2.0,0.003704,17.27550864,69.83621374,59.83448836,400,150,50.0,30,2.29
Rosenbrock_D30_Tournament_C0.9_M4.0,Rosenbrock,30,Tournament,0.9,4.0,0.007407,16.43640053,60.18416352,43.8482445,400,150,50.0,30,2.3
