Experiment_Name,Function,Dimension,Selection,Crossover_Rate,Mutation_Multiplier,Initial_Mutation_Rate,Best_Score,Mean_Score,Std_Dev,Iterations,Population_Size,Stagnation_Limit,Number_of_Runs,Avg_Time_Seconds
Griewangk_D30_Roulette_C0.7_M4.0,Griewangk,30,Roulette,0.7,4.0,0.005556,5.784e-05,0.06944814,0.07732512,400,150,50.0,30,2.16
Griewangk_D30_Roulette_C0.8_M1.0,Griewangk,30,Roulette,0.8,1.0,0.001389,0.00019832,0.1102364,0.1424362,400,150,50.0,30,2.18
Griewangk_D30_Roulette_C0.8_M2.0,Griewangk,30,Roulette,0.8,2.0,0.002778,0.00464566,0.07009019,0.08332206,400,150,50.0,30,2.2
Griewangk_D30_Roulette_C0.8_M4.0,Griewangk,30,Roulette,0.8,4.0,0.005556,1.007e-05,0.06980796,0.08518609,400,150,50.0,30,2.14
Griewangk_D30_Roulette_C0.9_M1.0,Griewangk,30,Roulette,0.9,1.0,0.001389,0.00025396,0.11932544,0.08234492,400,150,50.0,30,2.16
Griewangk_D30_Roulette_C0.9_M2.0,Griewangk,30,Roulette,0.9,2.0,0.002778,0.0002529,0.09171836,0.07666916,400,150,50.0,30,2.14
Griewangk_D30_Roulette_C0.9_M4.0,Griewangk,30,Roulette,0.9,4.0,0.005556,3.095e-05,0.10029255,0.15550941,400,150,50.0,30,2.17
Griewangk_D30_Tournament_C0.7_M1.0,Griewangk,30,Tournament,0.7,1.0,0.001389,0.00037323,0.08470942,0.08462941,400,150,50.0,30,1.89
Griewangk_D30_Tournament_C0.7_M2.0,Griewangk,30,Tournament,0.7,2.0,0.002778,0.00025219,0.05783452,0.05117189,400,150,50.0,30,1.85
Griewangk_D30_Tournament_C0.7_M4.0,Griewangk,30,Tournament,0.7,4.0,0.005556,0.00073923,0.04267717,0.04274959,400,150,50.0,30,1.88
Griewangk_D30_Tournament_C0.8_M1.0,Griewangk,30,Tournament,0.8,1.0,0.001389,0.00014333,0.13412558,0.1306851,400,150,50.0,30,1.89
Griewangk_D30_Tournament_C0.8_M2.0,Griewangk,30,Tournament,0.8,2.0,0.002778,0.00011202,0.04231817,0.03291818,400,150,50.0,30,1.92
Griewangk_D30_Tournament_C0.8_M4.0,Griewangk,30,Tournament,0.8,4.0,0.005556,7.602e-05,0.04435902,0.0525281,400,150,50.0,30,1.91
Griewangk_D30_Tournament_C0.9_M1.0,Griewangk,30,Tournament,0.9,1.0,0.001389,0.00663795,0.06280961,0.03859263,400,150,50.0,30,1.97
Griewangk_D30_Tournament_C0.9_M2.0,Griewangk,30,Tournament,0.9,2.0,0.002778,7.336e-05,0.05173107,0.04317447,400,150,50.0,30,1.93
